name,street,postcode,city,latitude,longitude,profiles
Arkkitehtitoimisto Jari Hintsala,Leirintäalueentie 3,97700,Ranua,60.5822395,24.0718901,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Jari+Hintsala/Ranua/yhteystiedot/394873
Arkkitehtitoimisto Juhani Aalto Oy,Iso Kylätie 43,04130,Sipoo,60.3735053,25.2660625,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Juhani+Aalto+Oy/Sipoo/yhteystiedot/3046970
Aihio Arkkitehdit Oy,Satakunnankatu 18 A,33210,Tampere,61.5010434,23.7632561,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Aihio+Arkkitehdit+Oy/Tampere/yhteystiedot/116557
Arkkitehtitoimisto Antti Heikkilä Oy,Äyritie 8 C,01510,Vantaa,60.292776950000004,24.96973014440453,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Antti+Heikkil%C3%A4+Oy/Vantaa/yhteystiedot/893457
Arkkitehtisuunnittelu Arkilla Oy,Käsityöläiskatu 4,45100,Kouvola,63.1091039,21.59678495266622,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtisuunnittelu+Arkilla+Oy/Kouvola/yhteystiedot/1703503
Arkkitehtuuritoimisto Vihanto & Co Oy,Satakunnankatu 33 b,33210,Tampere,61.5010434,23.7632561,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtuuritoimisto+Vihanto+%26+Co+Oy/Tampere/yhteystiedot/366330
KVA Arkkitehdit Oy,Keilaniementie 1,02150,Espoo,60.1752323,24.8303779,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/KVA+Arkkitehdit+Oy/Espoo/yhteystiedot/125746
Suunnittelutoimisto Insar Oy,Torikatu 1,38200,Sastamala,40.881615249999996,29.36895819846194,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Suunnittelutoimisto+Insar+Oy/Sastamala/yhteystiedot/895400
Suunnittelutoimisto Pauli Nuutinen Ky,Jokikatu 7,80220,Joensuu,62.59576945,29.76977961387928,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Suunnittelutoimisto+Pauli+Nuutinen+Ky/Joensuu/yhteystiedot/413242
K-Suunnittelu Savonlinna / EL Palsa,Olavinkatu 52,57100,Savonlinna,61.870291,28.8764013,https://www.finder.fi/Rakennuttajapalvelu/K-Suunnittelu+Savonlinna+EL+Palsa/Savonlinna/yhteystiedot/3357243
HMT Arkkitehdit Oy,Hämeentie 155,00560,Helsinki,60.1980088,24.9619986,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/HMT+Arkkitehdit+Oy/Helsinki/yhteystiedot/233620
LPR-arkkitehdit Oy,Kauppiaskatu 5 A,20100,Turku,60.450331,22.270436,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/LPR-arkkitehdit+Oy/Turku/yhteystiedot/125767
ArkVisio Oy,Puustellinpolku 12,00410,Helsinki,60.2452849,24.860961464850973,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/ArkVisio+Oy/Helsinki/yhteystiedot/307235
Arkkitehtitoimisto Hyvärinen & Co Oy,Vattuniemenkatu 15 A,00210,Helsinki,60.1519235,24.8855858,https://www.finder.fi/Arkkitehtitoimisto+suunnittelutoimisto/Arkkitehtitoimisto+Hyv%C3%A4rinen+%26+Co+Oy/Helsinki/yhteystiedot/187172
