
Arkkitehtitoimisto Juhani Aalto Oy,,,19.0,,
Aihio Arkkitehdit Oy,6413,"9,4%",1273,"21,1%","19,8%"
Arkkitehtitoimisto Antti Heikkilä Oy,394,"-13,6%",5,"6,6%","1,3%"
Arkkitehtisuunnittelu Arkilla Oy,183,"5,2%",16,"9,8%","8,7%"
Arkkitehtuuritoimisto Vihanto & Co Oy,673,"-8,2%",1,"0,6%","0,1%"
KVA Arkkitehdit Oy,2579,"10,6%",-40,0%,"-1,5%"
Suunnittelutoimisto Insar Oy,82,"-2,4%",-1,"-1,2%","-1,2%"
HMT Arkkitehdit Oy,387,"-26,3%",-47,"-11,8%","-11,8%"
LPR-arkkitehdit Oy,1707,"30,8%",281,17%,"16,3%"
Arkkitehtitoimisto Juhani Aalto Oy,,,19.0,,
Arkkitehtitoimisto Juhani Aalto Oy,,,19.0,,
Arkkitehtitoimisto Juhani Aalto Oy,,,19.0,,
Arkkitehtitoimisto Juhani Aalto Oy,,,19.0,,
Aihio Arkkitehdit Oy,6413,"9,4%",1273,"21,1%","19,8%"
Arkkitehtitoimisto Antti Heikkilä Oy,394,"-13,6%",5,"6,6%","1,3%"
Arkkitehtisuunnittelu Arkilla Oy,183,"5,2%",16,"9,8%","8,7%"
Arkkitehtuuritoimisto Vihanto & Co Oy,673,"-8,2%",1,"0,6%","0,1%"
KVA Arkkitehdit Oy,2579,"10,6%",-40,0%,"-1,5%"
Suunnittelutoimisto Insar Oy,82,"-2,4%",-1,"-1,2%","-1,2%"
HMT Arkkitehdit Oy,387,"-26,3%",-47,"-11,8%","-11,8%"
LPR-arkkitehdit Oy,1707,"30,8%",281,17%,"16,3%"
Arkkitehtitoimisto Hyvärinen & Co Oy,191,,57,"29,8%","29,8%"
Arkkitehtuuritoimisto Arsatek Oy,1100,"39,9%",148,"15,1%","13,5%"
Kakadu,883,"-16,7%",29,"5,2%","3,3%"
Arkkitehtitoimisto Jorma Paloranta Oy,1891,"-7,4%",352,"19,3%","18,4%"
